Kabupaten/Kota,jumlah_SD/MI,jumlah_SD/MI_SG_Massal,%jumlah_SD/MI_SG_Massal,jumlah_SD/MI_LG,%jumlah_SD/MI_LG,jumlah_murid_SD/MI_L,jumlah_murid_SD/MI_P,jumlah_murid_SD/MI_LP,jumlah_murid_SD/MI_L_Diperiksa,%jumlah_murid_SD/MI_L_Diperiksa,jumlah_murid_SD/MI_P_Diperiksa,%jumlah_murid_SD/MI_P_Diperiksa,jumlah_murid_SD/MI_LP_Diperiksa,%jumlah_murid_SD/MI_LP_Diperiksa,jumlah_murid_SD/MI_L_PR,jumlah_murid_SD/MI_P_PR,jumlah_murid_SD/MI_LP_PR,jumlah_murid_SD/MI_L_MP,%jumlah_murid_SD/MI_L_MP,jumlah_murid_SD/MI_P_MP,%jumlah_murid_SD/MI_P_MP,jumlah_murid_SD/MI_LP_MP,%jumlah_murid_SD/MI_LP_MP,tahun
Kabupaten Bogor,2385,291,12.2,637,26.71,47762,46486,94248,8237,17.25,8478,18.24,16715,17.74,860,706,1566,97,11.28,76,10.76,173,11.05,2018
Kabupaten Sukabumi,1548,111,7.17,1433,92.57,27366,24820,52186,27014,98.71,24504,98.73,51518,98.72,0,0,0,0,0.0,0,0.0,0,0.0,2018
Kabupaten Cianjur,1197,523,43.69,713,59.57,80328,73062,153390,27307,33.99,30356,41.55,57663,37.59,11142,11041,22183,7714,69.23,8108,73.44,15822,71.32,2018
Kabupaten Bandung,1546,1546,100.0,758,49.03,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,2018
Kabupaten Garut,3805,780,20.5,532,13.98,2287,1518,3805,2287,100.0,1518,100.0,3805,100.0,253,279,532,253,100.0,279,100.0,532,100.0,2018
Kabupaten Tasikmalaya,5836,1242,21.28,5836,100.0,1769,1975,3744,787,44.49,1036,52.46,1823,48.69,4994,7498,12492,2029,40.63,3044,40.6,5073,40.61,2018
Kabupaten Ciamis,920,920,100.0,920,100.0,20027,18741,38768,9679,48.33,8945,47.73,18624,48.04,4947,3370,8317,2828,57.17,2536,75.25,5364,64.49,2018
Kabupaten Kuningan,738,205,27.78,229,31.03,33706,48584,82290,9332,27.69,9065,18.66,18397,22.36,2772,2604,5376,1355,48.88,1255,48.2,2610,48.55,2018
Kabupaten Cirebon,889,725,81.55,888,99.89,0,0,113500,0,0.0,0,0.0,100220,88.3,0,0,32940,0,0.0,0,0.0,13131,39.86,2018
Kabupaten Majalengka,759,712,93.81,712,93.81,34273,32996,67269,25830,75.37,25557,77.45,51387,76.39,899,8133,16213,4279,52.96,5137,63.16,9416,58.08,2018
Kabupaten Sumedang,657,121,18.42,657,100.0,9493,9242,18735,9318,98.16,9072,98.16,18390,98.16,6206,6179,12385,6206,100.0,6179,100.0,12385,100.0,2018
Kabupaten Indramayu,497,497,100.0,497,100.0,50096,51463,101559,16600,33.14,20518,39.87,37118,36.55,8448,9587,18035,4715,55.81,5429,56.63,10144,56.25,2018
Kabupaten Subang,1381,938,67.92,1381,100.0,25696,25690,51386,25696,100.0,25690,100.0,51386,100.0,9862,8000,17862,4830,48.98,4525,56.56,9355,52.37,2018
Kabupaten Purwakarta,443,362,81.72,387,87.36,44452,34185,78637,25124,56.52,19665,57.53,44789,56.96,8742,7872,16614,5819,66.56,4835,61.42,10654,64.13,2018
Kabupaten Karawang,1062,441,41.53,1062,100.0,118285,112371,230656,34977,29.57,34878,31.04,69855,30.29,15187,15257,30444,9134,60.14,9546,62.57,18680,61.36,2018
Kabupaten Bekasi,1245,290,23.29,853,68.51,105744,108218,213962,32629,30.86,32823,30.33,65452,30.59,13354,13215,26569,5633,42.18,6436,48.7,12069,45.43,2018
Kabupaten Bandung Barat,11985,3764,31.41,2569,21.44,651303,68985,720288,30989,4.76,9593,13.91,40582,5.63,7708,2236,9944,3535,45.86,946,42.31,4481,45.06,2018
Kabupaten Pangandaran,352,285,80.97,250,71.02,19100,20622,39722,3750,19.63,3406,16.52,7156,18.02,389,311,700,19,4.88,24,7.72,43,6.14,2018
Kota Bogor,332,303,91.27,326,98.19,46895,44722,91617,26827,57.21,26441,59.12,53268,58.14,12203,14712,26915,7996,65.52,9653,65.61,17649,65.57,2018
Kota Sukabumi,72,56,77.78,29,40.28,0,0,5922,0,0.0,0,0.0,0,0.0,0,0,2199,0,0.0,0,0.0,1481,67.35,2018
