Kabupaten/Kota,jumlah_SD/MI,jumlah_SD/MI_SG_Massal,%jumlah_SD/MI_SG_Massal,jumlah_SD/MI_LG,%jumlah_SD/MI_LG,jumlah_murid_SD/MI_L,jumlah_murid_SD/MI_P,jumlah_murid_SD/MI_LP,jumlah_murid_SD/MI_L_Diperiksa,%jumlah_murid_SD/MI_L_Diperiksa,jumlah_murid_SD/MI_P_Diperiksa,%jumlah_murid_SD/MI_P_Diperiksa,jumlah_murid_SD/MI_LP_Diperiksa,%jumlah_murid_SD/MI_LP_Diperiksa,jumlah_murid_SD/MI_L_PR,jumlah_murid_SD/MI_P_PR,jumlah_murid_SD/MI_LP_PR,jumlah_murid_SD/MI_L_MP,%jumlah_murid_SD/MI_L_MP,jumlah_murid_SD/MI_P_MP,%jumlah_murid_SD/MI_P_MP,jumlah_murid_SD/MI_LP_MP,%jumlah_murid_SD/MI_LP_MP,tahun
Kabupaten Bogor,1699,1699,100.0,1643,96.7,113461,108524,221985,2508,2.0,2409,2.2,4917,2.2,1592,1485,3077,904,56.8,816,54.9,1720,55.9,2021
Kabupaten Sukabumi,1465,314,21.4,5472,373.5,87506,96103,183609,10276,11.7,10029,10.4,20305,11.1,3428,3601,7029,2392,69.8,2838,78.8,5230,74.4,2021
Kabupaten Cianjur,1188,79,6.6,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,2021
Kabupaten Bandung,1650,52,3.2,426,25.8,189097,191274,380371,14741,7.8,16479,8.6,31220,8.2,5550,5908,11458,1272,22.9,2136,36.2,3408,29.7,2021
Kabupaten Garut,1889,1744,92.3,1704,90.2,110836,109284,220120,28500,25.7,27386,25.1,55886,25.4,15993,14917,30910,5484,34.3,5595,37.5,2199,7.1,2021
Kabupaten Tasikmalaya,1311,455,34.7,885,67.5,16866,17013,33879,33775,200.3,32739,192.4,66514,196.3,10844,11203,22047,3980,36.7,4279,38.2,8259,37.5,2021
Kabupaten Ciamis,527,186,35.3,699,132.6,29705,31763,61468,12844,43.2,13560,42.7,26404,43.0,5493,5895,11386,2010,36.6,2016,34.2,4026,35.4,2021
Kabupaten Kuningan,741,226,30.5,539,72.7,46504,43385,89889,20860,44.9,19420,44.8,40280,44.8,4568,4939,9507,3330,72.9,3962,80.2,7292,76.7,2021
Kabupaten Cirebon,1065,0,0.0,1056,99.2,58276,57372,115648,27474,47.1,26031,45.4,53505,46.3,6411,5971,12382,2206,34.4,2255,37.8,4461,36.0,2021
Kabupaten Majalengka,697,226,32.4,688,64.6,53164,50666,103830,24490,46.1,23034,45.5,47524,45.8,5477,5684,11161,2515,45.9,2660,46.8,5175,46.4,2021
Kabupaten Sumedang,560,137,24.5,490,87.5,38698,40749,79447,10188,26.3,10750,26.4,20938,26.4,2772,2980,5752,1747,63.0,1934,64.9,3681,64.0,2021
Kabupaten Indramayu,615,163,26.5,442,71.9,0,0,0,0,0.0,0,0.0,0,0.0,0,0,18505,0,0.0,0,0.0,2748,14.9,2021
Kabupaten Subang,851,15,1.8,30,3.5,54001,58719,112720,704,1.3,547,0.9,1251,1.1,151,149,300,97,64.2,59,39.6,156,52.0,2021
Kabupaten Purwakarta,461,288,62.5,421,91.3,45052,42884,87936,21610,48.0,19871,46.3,41481,47.2,6559,6223,12782,4530,69.1,4430,71.2,8960,70.1,2021
Kabupaten Karawang,1101,54,4.9,950,86.3,134559,130073,264632,10361,7.7,10639,8.2,21000,7.9,2094,2265,4359,1567,74.8,1687,74.5,3254,74.7,2021
Kabupaten Bekasi,1189,338,28.4,762,64.1,113935,117507,231442,34475,30.3,34040,29.0,68515,29.6,11087,10730,21817,5141,46.4,5268,49.1,10409,47.7,2021
Kabupaten Bandung Barat,892,18,2.0,1,0.1,14526,16457,30983,13895,95.7,14460,87.9,28355,91.5,0,0,13925,262,0.0,0,0.0,476,3.4,2021
Kabupaten Pangandaran,344,122,35.5,292,84.9,17495,16329,33824,7565,43.2,6932,42.5,14497,42.9,3399,3245,6644,853,25.1,393,12.1,1811,27.3,2021
Kota Bogor,342,56,16.4,267,78.1,45613,42514,88127,14950,32.8,14217,33.4,29167,33.1,6162,6599,12761,1709,27.7,2115,32.1,3824,30.0,2021
Kota Sukabumi,100,17,17.0,79,79.0,12132,11699,23831,7598,62.6,7246,61.9,14844,62.3,4230,4027,8257,438,10.4,541,13.4,979,11.9,2021
Kota Bandung,271,23,8.5,1292,476.8,43447,41154,84601,19473,44.8,19064,46.3,38537,45.6,6310,6547,12857,2497,39.6,2947,45.0,5444,42.3,2021
Kota Cirebon,184,0,0.0,184,100.0,19440,17889,37329,2088,10.7,2641,14.8,4729,12.7,2165,2735,4900,643,29.7,834,30.5,1477,30.1,2021
Kota Bekasi,801,0,0.0,67,8.4,141227,134936,276163,9674,6.8,9416,7.0,19090,6.9,3060,3254,6314,1735,56.7,1916,58.9,3651,57.8,2021
